# openbim.ifc structural-catalog v1
schema	IFC4X3_ADD2	876	436
entity	IfcCoilType	IfcEnergyConversionDeviceType,IfcDistributionFlowElementType,IfcDistributionElementType,IfcElementType,IfcTypeProduct,IfcTypeObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ApplicableOccurrence,HasPropertySets,RepresentationMaps,Tag,ElementType,PredefinedType
entity	IfcColourRgb	IfcColourSpecification,IfcPresentationItem	Name,Red,Green,Blue
entity	IfcColourRgbList	IfcPresentationItem	ColourList
entity	IfcColourSpecification	IfcPresentationItem	Name
entity	IfcColumn	IfcBuiltElement,IfcElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,PredefinedType
entity	IfcColumnType	IfcBuiltElementType,IfcElementType,IfcTypeProduct,IfcTypeObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ApplicableOccurrence,HasPropertySets,RepresentationMaps,Tag,ElementType,PredefinedType
entity	IfcCommunicationsAppliance	IfcFlowTerminal,IfcDistributionFlowElement,IfcDistributionElement,IfcElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,PredefinedType
entity	IfcCommunicationsApplianceType	IfcFlowTerminalType,IfcDistributionFlowElementType,IfcDistributionElementType,IfcElementType,IfcTypeProduct,IfcTypeObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ApplicableOccurrence,HasPropertySets,RepresentationMaps,Tag,ElementType,PredefinedType
entity	IfcComplexProperty	IfcProperty,IfcPropertyAbstraction	Name,Specification,UsageName,HasProperties
entity	IfcComplexPropertyTemplate	IfcPropertyTemplate,IfcPropertyTemplateDefinition,IfcPropertyDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,UsageName,TemplateType,HasPropertyTemplates
entity	IfcCompositeCurve	IfcBoundedCurve,IfcCurve,IfcGeometricRepresentationItem,IfcRepresentationItem	Segments,SelfIntersect
entity	IfcCompositeCurveOnSurface	IfcCompositeCurve,IfcBoundedCurve,IfcCurve,IfcGeometricRepresentationItem,IfcRepresentationItem	Segments,SelfIntersect
entity	IfcCompositeCurveSegment	IfcSegment,IfcGeometricRepresentationItem,IfcRepresentationItem	Transition,SameSense,ParentCurve
entity	IfcCompositeProfileDef	IfcProfileDef	ProfileType,ProfileName,Profiles,Label
entity	IfcCompressor	IfcFlowMovingDevice,IfcDistributionFlowElement,IfcDistributionElement,IfcElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,PredefinedType
entity	IfcCompressorType	IfcFlowMovingDeviceType,IfcDistributionFlowElementType,IfcDistributionElementType,IfcElementType,IfcTypeProduct,IfcTypeObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ApplicableOccurrence,HasPropertySets,RepresentationMaps,Tag,ElementType,PredefinedType
entity	IfcCondenser	IfcEnergyConversionDevice,IfcDistributionFlowElement,IfcDistributionElement,IfcElement,IfcProduct,IfcObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,PredefinedType
entity	IfcCondenserType	IfcEnergyConversionDeviceType,IfcDistributionFlowElementType,IfcDistributionElementType,IfcElementType,IfcTypeProduct,IfcTypeObject,IfcObjectDefinition,IfcRoot	GlobalId,OwnerHistory,Name,Description,ApplicableOccurrence,HasPropertySets,RepresentationMaps,Tag,ElementType,PredefinedType
entity	IfcConic	IfcCurve,IfcGeometricRepresentationItem,IfcRepresentationItem	Position
entity	IfcConnectedFaceSet	IfcTopologicalRepresentationItem,IfcRepresentationItem	CfsFaces
entity	IfcConnectionCurveGeometry	IfcConnectionGeometry	CurveOnRelatingElement,CurveOnRelatedElement
entity	IfcConnectionGeometry	-	-
